"","frtn","rf"
"1990-01-08",-0.01168577,0.0002992063
"1990-01-09",-0.006449423,0.0002996032
"1990-01-10",0.003644232,0.000297619
"1990-01-11",-0.02456598,0.0002996032
"1990-01-12",-0.008491828,0.000297619
"1990-01-15",0.01126298,0.000297619
"1990-01-16",-0.009687337,0.0003027778
"1990-01-17",0.002460169,0.0003059524
"1990-01-18",0.002980016,0.0003087302
"1990-01-19",-0.02569181,0.0003071429
"1990-01-22",0.003826836,0.000306746
"1990-01-23",-0.00393138,0.0003043651
"1990-01-24",-0.0124985,0.0003043651
"1990-01-25",-0.0007267002,0.0003051587
"1990-01-26",-0.001696867,0.0003047619
"1990-01-29",-0.006677594,0.0003071429
"1990-01-30",0.01900629,0.0003071429
"1990-01-31",-0.0007196833,0.0003071429
"1990-02-01",0.006601849,0.0003079365
"1990-02-02",0.002981159,0.0003099206
"1990-02-05",-0.00647961,0.0003103175
"1990-02-06",0.01256507,0.0003103175
"1990-02-07",-0.002245465,0.0003099206
"1990-02-08",0.00213207,0.0003099206
"1990-02-09",-0.01046037,0.0003079365
"1990-02-12",0.002986144,0.000306746
"1990-02-13",0.003096344,0.0003007937
"1990-02-14",0.00884483,0.0003019841
"1990-02-15",-0.00635481,0.0003059524
"1990-02-16",-0.01409368,0.0003051587
"1990-02-20",-0.0008408913,0.0003095238
"1990-02-21",-0.005831079,0.0003075397
"1990-02-22",-0.004655944,0.000306746
"1990-02-23",0.01409392,0.0003047619
"1990-02-26",0.004972144,0.0003059524
"1990-02-27",0.005126371,0.000306746
"1990-02-28",0.002668723,0.0003083333
"1990-03-01",0.008576329,0.0003099206
"1990-03-02",-0.005219329,0.0003079365
"1990-03-05",0.01267464,0.0003103175
"1990-03-06",-0.002736058,0.0003134921
"1990-03-07",0.009981904,0.0003138889
"1990-03-08",-0.006762224,0.0003138889
"1990-03-09",0.002327611,0.0003170635
"1990-03-12",-0.007721335,0.0003170635
"1990-03-13",0.002691318,0.0003166667
"1990-03-14",0.003734391,0.0003154762
"1990-03-15",0.01151029,0.0003150794
"1990-03-16",0.004827586,0.0003142857
"1990-03-19",-0.00554793,0.0003150794
"1990-03-20",-0.005233795,0.0003162698
"1990-03-21",-0.01179463,0.0003154762
"1990-03-22",0.004739059,0.0003134921
"1990-03-23",0.001339312,0.0003126984
"1990-03-26",0.01163061,0.0003119048
"1990-03-27",0.001552081,0.0003134921
"1990-03-28",-0.003386328,0.0003115079
"1990-03-29",-0.002361207,0.0003107143
"1990-03-30",-0.00352133,0.0003095238
"1990-04-02",0.01477233,0.0003087302
"1990-04-03",-0.007307187,0.0003103175
"1990-04-04",-0.0009201219,0.0003075397
"1990-04-05",-0.001784378,0.0003079365
"1990-04-06",0.00397878,0.0003079365
"1990-04-09",0.002182528,0.0003103175
"1990-04-10",-0.0003438592,0.0003087302
"1990-04-11",0.007223528,0.0003079365
"1990-04-12",0.001309124,0.0003079365
"1990-04-16",-5.684402e-05,0.0003071429
"1990-04-17",-0.0113126,0.0003079365
"1990-04-18",-0.007589696,0.0003099206
"1990-04-19",-0.008632677,0.000309127
"1990-04-20",-0.01203904,0.0003051587
"1990-04-23",-0.001952085,0.000306746
"1990-04-24",0.005215742,0.0003079365
"1990-04-25",0.002830189,0.000309127
"1990-04-26",-0.01128881,0.0003103175
"1990-04-27",0.005292578,0.000309127
"1990-04-30",0.004495711,0.000309127
"1990-05-01",0.006831164,0.0003142857
"1990-05-02",0.003450898,0.0003134921
"1990-05-03",0.008510142,0.0003126984
"1990-05-04",0.00647324,0.0003079365
"1990-05-07",0.004479155,0.0003103175
"1990-05-08",0.002629774,0.000309127
"1990-05-09",0.00296499,0.0003075397
"1990-05-10",0.02393405,0.0003059524
"1990-05-11",0.007939592,0.000302381
"1990-05-14",-0.001211854,0.0003027778
"1990-05-15",-0.0006618134,0.0003035714
"1990-05-16",0.001490066,0.0003043651
"1990-05-17",0.0006061608,0.0003043651
"1990-05-18",0.009582553,0.0003075397
"1990-05-21",0.001363736,0.0003075397
"1990-05-22",0.002505856,0.000306746
"1990-05-23",-0.002282237,0.0003035714
"1990-05-24",-0.01056587,0.0003051587
"1990-05-25",0.01722904,0.0003075397
"1990-05-29",0.0007575758,0.0003075397
"1990-05-30",0.001135503,0.0003079365
"1990-05-31",0.005455036,0.0003075397
"1990-06-01",0.01181779,0.0003047619
"1990-06-04",-0.001911234,0.0003055556
"1990-06-05",-0.004468085,0.0003055556
"1990-06-06",-0.00480872,0.0003055556
"1990-06-07",-0.01213358,0.0003055556
"1990-06-08",0.008315217,0.0003055556
"1990-06-11",0.01288201,0.000306746
"1990-06-12",-0.003565347,0.000306746
"1990-06-13",-0.005340454,0.0003043651
"1990-06-14",0.0001610738,0.0003039683
"1990-06-15",-0.01648057,0.0003051587
"1990-06-18",0.004584903,0.0003043651
"1990-06-19",0.001901657,0.0003071429
"1990-06-20",0.003958785,0.0003079365
"1990-06-21",-0.01388214,0.0003083333
"1990-06-22",-0.008599912,0.0003087302
"1990-06-25",-0.0006077684,0.000309127
"1990-06-26",0.008900929,0.0003095238
"1990-06-27",0.007123678,0.0003087302
"1990-06-28",0.001251428,0.0003071429
"1990-06-29",0.004347354,0.0003071429
"1990-07-02",0.001893734,0.0003071429
"1990-07-03",-0.01231301,0.0003055556
"1990-07-05",0.007818908,0.0003039683
"1990-07-06",0.003200955,0.0003075397
"1990-07-09",-0.008274296,0.0003095238
"1990-07-10",0.01341477,0.0003095238
"1990-07-11",0.01178433,0.0003087302
"1990-07-12",0.005265117,0.0003047619
"1990-07-13",0.004602688,0.0003015873
"1990-07-16",-0.003739007,0.0003019841
"1990-07-17",-0.008880431,0.0003019841
"1990-07-18",0.0032,0.0002996032
"1990-07-19",-0.01004785,0.0002992063
"1990-07-20",-0.0172923,0.0002992063
"1990-07-23",0.00147549,0.0002968254
"1990-07-24",0.00381971,0.0002988095
"1990-07-25",-0.003207219,3e-04
"1990-07-26",-0.006762284,0.0003007937
"1990-07-27",0.006094548,0.0002984127
"1990-07-30",0.001800917,0.000297619
